ID,nfp,symmetry_class,aspect,a,R0,n_coils,nc_per_hp,qs_error,d_min,d_min_over_a,d_min_over_R0,d_min_per_coil_min,d_min_per_coil_max
883496,2,QA,3.3333316639,0.3000000501,1.038813023331643,8,2,-2.58558044,0.29480392478958717,0.9826795851911331,0.283789207651732,0.29480392478958717,0.3036868039830119
886079,2,QA,3.4115890132,0.2976478281,0.9908021156798178,8,2,-0.8570933966,0.09648697926526403,0.3241649028020038,0.09738269401964442,0.09648697926526403,0.23018855172859545
888694,2,QA,6.6666681998,0.1499999885,0.9938315011862321,8,2,-2.9994862474,0.3221508791143396,2.1476726920838374,0.324150400475153,0.3221508791143396,0.4530156441863464
894738,2,QA,3.3333318854,0.3000000434,1.032532340833303,12,3,-2.5930608216,0.23449726668361878,0.7816574425322859,0.2271088830925802,0.23449726668361878,0.26473116657251083
918134,3,QA,20.0002448692,0.0499991994,1.000082638563683,6,1,-2.3521441549,0.3281311960209631,6.562729002836055,0.32810408197089047,0.3281311960209631,0.3281311960209634
918568,3,QA,19.9999959084,0.0500000023,1.000270557486792,6,1,-2.6267709552,0.37549000862067294,7.509799826962667,0.3753884444665673,0.37549000862067294,0.3754900086206731
923503,3,QA,19.9999999502,0.05,1.008452636145283,12,2,-3.9306220504,0.24387629382210968,4.877525876442193,0.2418321744433177,0.24387629382210968,0.28650669806999546
923602,3,QA,10.0000002812,0.0999999991,1.024269232081666,12,2,-3.6563632714,0.24614905069310064,2.461490529084421,0.2403167477683982,0.24614905069310064,0.3118939117254884
928988,3,QA,4.000012279,0.2499997442,1.047339033633483,12,2,-2.2457899402,0.19002934121286993,0.7601181426043632,0.18144014030834912,0.19002934121286993,0.26019573871095175
931756,3,QA,20.0000000805,0.0499999999,0.9991969032492408,12,2,-3.7460054315,0.25178294222525444,5.035658854576407,0.2519853108096047,0.25178294222525444,0.29558835296066904
932746,3,QA,5.0001404638,0.1999981272,1.031923073442981,18,3,-2.121856902,0.10012192951733964,0.5006143353393344,0.09702460589749755,0.10012192951733964,0.25646279096526786
939367,4,QA,6.6666759143,0.1499999306,1.048844305594943,8,1,-2.1968498086,0.1781156971884922,1.1874385306448416,0.1698209126353205,0.1781156971884922,0.1781156971884923
941045,4,QA,19.9999404168,0.0500000497,0.9984058688066674,8,1,-2.2345006067,0.3078437460331618,6.156868800735648,0.30833527290971185,0.3078437460331618,0.30784374603316195
948374,4,QA,20.0000004345,0.0499999996,1.01046459239695,16,2,-3.3637606603,0.12682988362094627,2.536597692711707,0.1255164055972409,0.12682988362094627,0.4017979994999026
948619,4,QA,20.0000002012,0.0499999998,1.014495326339138,16,2,-3.8322759588,0.12602309191685915,2.52046184841903,0.12422244700882001,0.12602309191685915,0.3773231443425502
